노선번호,정류장순서,정류장코드,정류장명,선탑건수합계,후탑건수합계,승차합계,하차합계,오전4시00분_승차건수(선탑_후탑),오전4시00분_하차건수,오전4시30분_승차건수(선탑_후탑),오전4시30분_하차건수,오전5시00분_승차건수(선탑_후탑),오전5시00분_하차건수,오전5시30분_승차건수(선탑_후탑),오전5시30분_하차건수,오전6시00분_승차건수(선탑_후탑),오전6시00분_하차건수,오전6시30분_승차건수(선탑_후탑),오전6시30분_하차건수,오전7시00분_승차건수(선탑_후탑),오전7시00분_하차건수,오전7시30분_승차건수(선탑_후탑),오전7시30분_하차건수,오전8시00분_승차건수(선탑_후탑),오전8시00분_하차건수,오전8시30분_승차건수(선탑_후탑),오전8시30분_하차건수,오전9시00분_승차건수(선탑_후탑),오전9시00분_하차건수,오전9시30분_승차건수(선탑_후탑),오전9시30분_하차건수,오전10시00분_승차건수(선탑_후탑),오전10시00분_하차건수,오전10시30분_승차건수(선탑_후탑),오전10시30분_하차건수,오전11시00분_승차건수(선탑_후탑),오전11시00분_하차건수,오전11시30분_승차건수(선탑_후탑),오전11시30분_하차건수,오후12시00분_승차건수(선탑_후탑),오후12시00분_하차건수,오후12시30분_승차건수(선탑_후탑),오후12시30분_하차건수,오후1시00분_승차건수(선탑_후탑),오후1시00분_하차건수,오후1시30분_승차건수(선탑_후탑),오후1시30분_하차건수,오후2시00분_승차건수(선탑_후탑),오후2시00분_하차건수,오후2시30분_승차건수(선탑_후탑),오후2시30분_하차건수,오후3시00분_승차건수(선탑_후탑),오후3시00분_하차건수,오후3시30분_승차건수(선탑_후탑),오후3시30분_하차건수,오후4시00분_승차건수(선탑_후탑),오후4시00분_하차건수,오후4시30분_승차건수(선탑_후탑),오후4시30분_하차건수,오후5시00분_승차건수(선탑_후탑),오후5시00분_하차건수,오후5시30분_승차건수(선탑_후탑),오후5시30분_하차건수,오후6시00분_승차건수(선탑_후탑),오후6시00분_하차건수,오후6시30분_승차건수(선탑_후탑),오후6시30분_하차건수,오후7시00분_승차건수(선탑_후탑),오후7시00분_하차건수,오후7시30분_승차건수(선탑_후탑),오후7시30분_하차건수,오후8시00분_승차건수(선탑_후탑),오후8시00분_하차건수,오후8시30분_승차건수(선탑_후탑),오후8시30분_하차건수,오후9시00분_승차건수(선탑_후탑),오후9시00분_하차건수,오후9시30분_승차건수(선탑_후탑),오후9시30분_하차건수,오후10시00분_승차건수(선탑_후탑),오후10시00분_하차건수,오후10시30분_승차건수(선탑_후탑),오후10시30분_하차건수,오후11시00분_승차건수(선탑_후탑),오후11시00분_하차건수,오후11시30분_승차건수(선탑_후탑),오후11시30분_하차건수,오전12시00분_승차건수(선탑_후탑),오전12시00분_하차건수,오전12시30분_승차건수(선탑_후탑),오전12시30분_하차건수,오전1시00분_승차건수(선탑_후탑),오전1시00분_하차건수,오전1시30분_승차건수(선탑_후탑),오전1시30분_승차합계,오전2시00분_승차건수(선탑_후탑),오전2시00분_하차건수,오전2시30분_승차건수(선탑_후탑),오전2시30분_하차건수,오전3시00분_승차건수(선탑_후탑),오전3시00분_하차건수,오전3시30분_승차건수(선탑_후탑),오전3시30분_하차건수
33,16,2621935,서면역.롯데호텔백화점,269,193,462,272,0,0,6,1,12,7,9,6,9,7,2,2,12,9,0,4,5,6,4,6,5,10,6,15,21,11,10,11,11,10,17,15,14,9,22,13,20,4,15,10,10,10,26,12,12,7,8,8,24,13,11,8,19,6,24,9,28,10,23,8,16,5,19,4,11,0,4,2,13,3,2,7,12,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,17,2621936,부암역,90,29,119,50,0,0,4,0,4,1,9,1,5,3,3,0,0,0,0,0,1,3,1,1,2,1,2,4,6,3,4,2,4,0,2,1,1,3,2,1,0,0,3,1,5,1,10,3,3,1,2,3,7,3,4,1,6,1,5,3,5,1,7,4,0,1,5,1,1,1,1,0,1,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,18,2621937,가야역,40,37,77,30,0,0,1,0,5,0,3,1,2,0,2,0,1,0,3,1,0,0,5,0,2,0,4,1,1,2,1,1,5,1,3,3,0,1,2,1,1,0,2,0,4,0,3,0,2,0,1,2,1,3,2,1,5,0,3,3,5,1,0,3,1,1,3,0,0,1,1,0,1,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,19,2621938,부산진우체국.가야1치안센터,112,61,173,55,0,0,1,0,3,3,2,2,5,2,3,0,6,0,2,1,2,1,5,0,3,0,5,1,2,2,11,4,3,2,6,3,4,0,10,3,3,2,9,0,11,0,6,2,6,1,2,0,6,7,6,2,8,2,4,1,9,2,8,7,5,1,3,1,2,0,8,2,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,20,2621946,동의대역,51,12,63,48,0,0,2,0,2,1,0,2,3,0,2,1,0,0,2,1,1,1,1,1,2,0,2,1,4,4,1,1,0,1,0,0,3,2,3,1,6,1,4,3,2,0,0,0,3,0,0,0,1,3,0,0,3,1,1,4,1,8,3,4,2,1,0,0,1,2,1,1,1,0,5,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,21,2621947,개금역,180,55,235,135,0,0,4,0,2,1,6,0,7,1,3,1,6,1,2,2,3,3,10,2,7,6,4,3,11,3,9,10,4,2,14,3,10,4,4,8,11,10,3,4,9,7,4,0,6,4,7,4,13,9,3,7,7,3,11,1,18,12,1,10,9,6,10,2,3,1,4,2,3,1,4,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,22,2621948,냉정고개,28,31,59,25,0,0,3,0,3,0,2,1,0,0,4,1,1,1,2,0,3,2,5,0,4,1,1,0,3,0,0,0,1,1,1,0,0,0,3,0,4,0,0,0,1,0,1,0,0,0,0,0,2,1,4,3,1,2,1,1,2,5,1,3,0,0,1,2,2,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,23,2621949,냉정역.동서대경남정보대,56,23,79,34,0,0,5,0,0,0,5,1,3,0,2,1,3,0,2,0,0,0,0,1,3,2,4,0,5,2,0,0,2,0,0,1,1,0,5,3,2,1,1,4,0,0,7,1,1,1,2,0,0,0,4,0,2,1,1,0,9,1,1,5,0,1,2,3,0,2,0,1,4,2,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,24,2621950,좋은삼선병원,70,22,92,23,0,0,0,0,0,0,2,0,2,0,4,0,2,0,2,0,2,0,4,1,6,0,0,0,3,3,2,1,2,1,4,1,2,0,3,0,1,0,1,1,2,1,5,1,8,2,1,0,5,1,5,1,7,0,5,2,7,0,1,0,0,2,1,0,0,1,0,1,0,0,2,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,25,2621951,주례역,81,50,131,96,0,0,0,0,6,0,5,0,6,0,1,1,9,1,3,0,6,0,2,1,6,1,6,1,2,4,2,3,7,2,2,2,1,2,9,4,4,6,3,3,3,3,2,3,3,5,4,1,1,3,6,7,3,6,6,5,6,4,4,2,2,6,1,2,2,5,1,7,0,1,4,4,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,26,2601427,주례1동주민센터,48,9,57,12,0,0,0,0,2,0,0,0,2,1,0,0,4,0,4,1,4,0,2,0,1,0,4,0,2,0,0,1,2,1,2,1,1,0,0,0,1,2,0,0,0,0,0,1,4,0,1,0,0,0,1,0,1,0,1,0,5,0,5,3,1,0,2,0,1,0,0,0,0,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
